[1740581543.359804] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581543.564619] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581543.974231] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581544.605296] UDP | 192.168.31.118 --> 192.168.31.1 | Length: 79
[1740581544.639192] UDP | 192.168.31.1 --> 192.168.31.118 | Length: 111
[1740581544.640538] UDP | 192.168.31.118 --> 162.159.200.1 | Length: 90
[1740581544.685994] UDP | 162.159.200.1 --> 192.168.31.118 | Length: 90
[1740581546.033476] UDP | 192.168.31.12 --> 224.0.0.251 | Length: 103
[1740581550.15313] TCP | 192.168.31.118 --> 140.82.112.26 | Length: 55
[1740581550.465538] TCP | 140.82.112.26 --> 192.168.31.118 | Length: 66
[1740581551.599525] TCP | 203.23.178.57 --> 192.168.31.118 | Length: 54
[1740581551.599579] TCP | 192.168.31.118 --> 203.23.178.57 | Length: 54
[1740581551.60433] TCP | 192.168.31.118 --> 203.23.178.57 | Length: 55
[1740581551.835247] TCP | 203.23.178.57 --> 192.168.31.118 | Length: 66
[1740581552.782241] UDP | 192.168.31.140 --> 224.0.0.251 | Length: 103
[1740581553.294629] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581553.66277] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581553.835604] UDP | 192.168.31.140 --> 239.255.255.250 | Length: 167
[1740581554.18927] UDP | 192.168.31.118 --> 192.168.31.1 | Length: 78
[1740581554.189453] UDP | 192.168.31.118 --> 192.168.31.1 | Length: 78
[1740581554.219908] UDP | 192.168.31.1 --> 192.168.31.118 | Length: 129
[1740581554.223019] UDP | 192.168.31.1 --> 192.168.31.118 | Length: 129
[1740582696.554764] TCP | 192.168.31.118 --> 203.23.178.57 | Length: 55
[1740582696.780226] TCP | 203.23.178.57 --> 192.168.31.118 | Length: 54
[1740582696.780258] TCP | 192.168.31.118 --> 203.23.178.57 | Length: 54
[1740582696.785936] TCP | 203.23.178.57 --> 192.168.31.118 | Length: 66
[1740582697.166185] UDP | 192.168.31.140 --> 224.0.0.251 | Length: 1490
[1740582698.730827] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 172
[1740582698.730918] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 93
[1740582698.730948] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 1336
[1740582698.730948] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 1336
[1740582698.730948] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 1336
[1740582698.730948] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 1336
[1740582698.730948] TCP | 192.168.31.118 --> 51.116.246.104 | Length: 1187
[1740582698.914265] TCP | 51.116.246.104 --> 192.168.31.118 | Length: 66
[1740582698.914265] TCP | 51.116.246.104 --> 192.168.31.118 | Length: 66
[1740582698.914265] TCP | 51.116.246.104 --> 192.168.31.118 | Length: 66
[1740582698.914265] TCP | 51.116.246.104 --> 192.168.31.118 | Length: 66
[1740582698.914265] TCP | 51.116.246.104 --> 192.168.31.118 | Length: 54
